timestamp,R_angle(¦È),R_Torque Cmd,R_Torque Est,L_angle(¦È),L_Torque Cmd,L_Torque Est,L¦È Display,R¦È Display,L¦Ó Display,R¦Ó Display
-2.2553,0.0,0.0,0.0,0.09,0.0,0.0,0.1,0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
-2.2383,0.0,0.0,0.0,0.09,0.0,0.0,0.1,0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
-2.2288,0.0,0.0,0.0,0.09,0.0,0.0,0.1,0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
-2.2278000000000002,0.0,0.0,0.0,0.09,0.0,0.0,0.1,0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
-2.2268000000000003,0.0,0.0,0.0,0.09,0.0,0.0,0.1,0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
-2.2143,0.0,0.0,0.0,0.09,0.0,0.0,0.1,0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
-2.1638,61.57,0.0,0.0,0.08,0.0,0.0,0.1,61.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
-2.1403000000000003,60.46,0.0,0.0,0.07,0.0,0.0,0.1,60.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
-2.1393,58.72,0.0,0.0,0.07,0.0,0.0,0.1,58.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
-2.1328,43.48,0.0,0.0,0.07,0.0,0.0,0.1,43.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
